ticker,tweet_count,active_days,avg_per_day
TSLA,181368,973,186.40082219938336
AAPL,83964,1090,77.03119266055046
AMZN,58193,1090,53.388073394495414
META,44182,965,45.78445595854922
NVDA,33965,1074,31.624767225325886
MSFT,31153,963,32.34994807892004
BABA,18761,978,19.183026584867076
DIS,14146,1064,13.295112781954888
GOOG,12539,1085,11.556682027649769
PFE,12021,1031,11.659553831231813
WMT,11164,1076,10.37546468401487
XOM,7933,1060,7.483962264150944
JPM,7783,950,8.192631578947369
BAC,7353,1046,7.0296367112810705
CVX,6907,824,8.382281553398059
JNJ,6104,884,6.904977375565611
V,5293,936,5.65491452991453
HD,4837,923,5.240520043336945
CAT,4823,937,5.147278548559232
COST,4780,1003,4.765702891326022
KO,3915,828,4.728260869565218
TSM,3850,786,4.89821882951654
MA,3408,913,3.7327491785323113
ABBV,3200,914,3.50109409190372
VZ,3119,745,4.186577181208054
UPS,2805,803,3.493150684931507
LLY,2781,745,3.7328859060402686
PG,2665,727,3.6657496561210454
LMT,2620,733,3.5743519781718964
UNH,2550,818,3.117359413202934
AMT,2536,546,4.644688644688645
EQIX,2505,441,5.680272108843537
PSA,2482,499,4.973947895791583
AVGO,2466,776,3.1778350515463916
CMCSA,2412,806,2.9925558312655087
PLD,2362,505,4.677227722772277
APD,2283,444,5.141891891891892
PEP,2196,669,3.282511210762332
AEP,2156,416,5.1826923076923075
TM,2053,560,3.6660714285714286
COP,2027,689,2.941944847605225
RIO,2005,578,3.4688581314878895
SHW,1939,398,4.871859296482412
VALE,1937,660,2.934848484848485
TTE,1911,404,4.73019801980198
BRK-A,1910,414,4.613526570048309
DUK,1688,357,4.728291316526611
SHEL,1688,406,4.157635467980295
CCI,1651,339,4.870206489675517
NEE,1637,559,2.928443649373882
SO,1590,365,4.3561643835616435
UNP,1557,398,3.9120603015075375
HON,1436,464,3.0948275862068964
BHP,1433,446,3.213004484304933
D,1353,462,2.9285714285714284
